#;GROUP;INSTANCE;clingoPAR1;waspPAR1;wasp-amoPAR1
1;1;0001-graph_colouring-125-0_1200.asp;3.904;24.632;802.746
2;2;0001-graph_colouring-125-0_3600.asp;1200;1200;1200
3;0;0001-graph_colouring-125-0_6000.asp;1200;1200;13.377
4;1;0002-graph_colouring-125-0_1200.asp;1200;1200;1200
5;2;0002-graph_colouring-125-0_3600.asp;1200;1200;1200
6;0;0002-graph_colouring-125-0_6000.asp;1200;1200;26.589
7;1;0003-graph_colouring-125-0_1200.asp;0.109;0.225;11.847
8;2;0003-graph_colouring-125-0_3600.asp;1200;1200;1200
9;0;0003-graph_colouring-125-0_6000.asp;1200;1200;25.577
10;1;0004-graph_colouring-125-0_1200.asp;4.095;36.715;782.761
11;2;0004-graph_colouring-125-0_3600.asp;1200;1200;1200
12;0;0004-graph_colouring-125-0_6000.asp;1200;1200;15.929
13;1;0005-graph_colouring-125-0_1200.asp;0.217;14.409;85.213
14;2;0005-graph_colouring-125-0_3600.asp;1200;1200;1200
15;0;0005-graph_colouring-125-0_6000.asp;1200;1200;14.405
16;1;0006-graph_colouring-125-0_1200.asp;4.927;44.799;122.559
17;2;0006-graph_colouring-125-0_3600.asp;1200;1200;1200
18;0;0006-graph_colouring-125-0_6000.asp;1200;1200;32.651
19;1;0007-graph_colouring-125-0_1200.asp;0.217;0.221;32.66
20;2;0007-graph_colouring-125-0_3600.asp;1200;1200;1200
21;0;0007-graph_colouring-125-0_6000.asp;1200;1200;18.489
22;1;0008-graph_colouring-125-0_1200.asp;2.433;3.738;11.339
23;2;0008-graph_colouring-125-0_3600.asp;1200;1200;1200
24;0;0008-graph_colouring-125-0_6000.asp;1200;1200;16.437
25;1;0009-graph_colouring-125-0_1200.asp;1.392;13.902;164.02
26;2;0009-graph_colouring-125-0_3600.asp;1200;1200;1200
27;0;0009-graph_colouring-125-0_6000.asp;1200;1200;13.382
28;1;0010-graph_colouring-125-0_1200.asp;0.217;0.221;2.687
29;2;0010-graph_colouring-125-0_3600.asp;1200;1200;1200
30;0;0010-graph_colouring-125-0_6000.asp;1200;1200;33.67
31;1;0011-graph_colouring-130-0_1248.asp;1200;1200;1200
32;2;0011-graph_colouring-130-0_3744.asp;1200;1200;1200
33;0;0011-graph_colouring-130-0_6240.asp;1200;1200;37.698
34;1;0012-graph_colouring-130-0_1248.asp;150.385;1200;1200
35;2;0012-graph_colouring-130-0_3744.asp;1200;1200;1200
36;0;0012-graph_colouring-130-0_6240.asp;1200;1200;24.572
37;1;0013-graph_colouring-130-0_1248.asp;0.327;0.78;247.908
38;2;0013-graph_colouring-130-0_3744.asp;1200;1200;1200
39;0;0013-graph_colouring-130-0_6240.asp;1200;1200;31.648
40;1;0014-graph_colouring-130-0_1248.asp;1200;1200;1200
41;2;0014-graph_colouring-130-0_3744.asp;1200;1200;1200
42;0;0014-graph_colouring-130-0_6240.asp;1200;1200;13.381
43;1;0015-graph_colouring-130-0_1248.asp;1200;1200;1200
44;2;0015-graph_colouring-130-0_3744.asp;1200;1200;1200
45;0;0015-graph_colouring-130-0_6240.asp;1200;1200;19.509
46;1;0016-graph_colouring-130-0_1248.asp;1200;1200;1200
47;2;0016-graph_colouring-130-0_3744.asp;1200;1200;1200
48;0;0016-graph_colouring-130-0_6240.asp;1200;1200;16.96
