N;GROUP;INSTANCE;clingoPAR1;waspPAR1;wasp-amoPAR1
3;0;0001-graph_colouring-125-0_6000.asp;1200;1200;13.377
6;0;0002-graph_colouring-125-0_6000.asp;1200;1200;26.589
9;0;0003-graph_colouring-125-0_6000.asp;1200;1200;25.577
12;0;0004-graph_colouring-125-0_6000.asp;1200;1200;15.929
15;0;0005-graph_colouring-125-0_6000.asp;1200;1200;14.405
18;0;0006-graph_colouring-125-0_6000.asp;1200;1200;32.651
21;0;0007-graph_colouring-125-0_6000.asp;1200;1200;18.489
24;0;0008-graph_colouring-125-0_6000.asp;1200;1200;16.437
27;0;0009-graph_colouring-125-0_6000.asp;1200;1200;13.382
30;0;0010-graph_colouring-125-0_6000.asp;1200;1200;33.67
33;0;0011-graph_colouring-130-0_6240.asp;1200;1200;37.698
36;0;0012-graph_colouring-130-0_6240.asp;1200;1200;24.572
39;0;0013-graph_colouring-130-0_6240.asp;1200;1200;31.648
42;0;0014-graph_colouring-130-0_6240.asp;1200;1200;13.381
45;0;0015-graph_colouring-130-0_6240.asp;1200;1200;19.509
48;0;0016-graph_colouring-130-0_6240.asp;1200;1200;16.96
51;0;0017-graph_colouring-130-0_6240.asp;1200;1200;20.017
54;0;0018-graph_colouring-130-0_6240.asp;1200;1200;15.936
57;0;0019-graph_colouring-130-0_6240.asp;1200;1200;58.928
60;0;0020-graph_colouring-130-0_6240.asp;1200;1200;65
63;0;0021-graph_colouring-135-0_6480.asp;1200;1200;16.444
66;0;0022-graph_colouring-135-0_6480.asp;1073.901;1200;12.873
69;0;0023-graph_colouring-135-0_6480.asp;1200;1200;21.545
72;0;0024-graph_colouring-135-0_6480.asp;1200;1200;33.666
75;0;0025-graph_colouring-135-0_6480.asp;1200;1200;33.673
78;0;0026-graph_colouring-135-0_6480.asp;1200;1200;19.506
81;0;0027-graph_colouring-135-0_6480.asp;630.362;1200;18.486
84;0;0028-graph_colouring-135-0_6480.asp;1200;1200;21.538
87;0;0029-graph_colouring-135-0_6480.asp;1200;1200;30.637
90;0;0030-graph_colouring-135-0_6480.asp;1200;1200;25.578
93;0;0031-graph_colouring-140-0_6720.asp;567.81;1200;35.693
96;0;0032-graph_colouring-140-0_6720.asp;132.295;1200;22.553
99;0;0033-graph_colouring-140-0_6720.asp;1200;1200;19.516
102;0;0034-graph_colouring-140-0_6720.asp;605.162;1200;74.095
105;0;0035-graph_colouring-140-0_6720.asp;1200;1200;52.878
108;0;0036-graph_colouring-140-0_6720.asp;1200;1200;23.567
111;0;0037-graph_colouring-140-0_6720.asp;1200;1200;19
114;0;0038-graph_colouring-140-0_6720.asp;1200;1200;22.551
117;0;0039-graph_colouring-140-0_6720.asp;1200;1200;45.801
120;0;0040-graph_colouring-140-0_6720.asp;1200;1200;85.219
123;0;0041-graph_colouring-145-0_6960.asp;1200;1200;41.75
126;0;0042-graph_colouring-145-0_6960.asp;1164.629;1200;29.627
129;0;0043-graph_colouring-145-0_6960.asp;802.736;1200;40.751
132;0;0044-graph_colouring-145-0_6960.asp;141.334;1200;29.625
135;0;0045-graph_colouring-145-0_6960.asp;1200;1200;29.626
138;0;0046-graph_colouring-145-0_6960.asp;421.672;1200;26.598
141;0;0047-graph_colouring-145-0_6960.asp;1200;1200;24.581
144;0;0048-graph_colouring-145-0_6960.asp;1200;1200;26.596
147;0;0049-graph_colouring-145-0_6960.asp;405.574;1200;25.582
150;0;0050-graph_colouring-145-0_6960.asp;1200;1200;36.691
153;0;0051-graph_colouring-150-0_7200.asp;1200;1200;26.594
156;0;0052-graph_colouring-150-0_7200.asp;1200;1200;40.742
159;0;0053-graph_colouring-150-0_7200.asp;1200;1200;146.855
162;0;0054-graph_colouring-150-0_7200.asp;1200;1200;45.787
165;0;0055-graph_colouring-150-0_7200.asp;1200;1200;52.855
168;0;0056-graph_colouring-150-0_7200.asp;1200;1200;56.92
171;0;0057-graph_colouring-150-0_7200.asp;325.965;1200;33.668
174;0;0058-graph_colouring-150-0_7200.asp;1200;1200;80.151
177;0;0059-graph_colouring-150-0_7200.asp;1200;1200;36.703
180;0;0060-graph_colouring-150-0_7200.asp;420.61;1200;26.591
