#;clingo;wasp;wasp-amo
1;0.108;0.108;0.109
2;0.108;0.108;0.109
3;0.108;0.109;0.109
4;0.108;0.109;0.109
5;0.108;0.109;0.109
6;0.108;0.109;0.109
7;0.108;0.109;0.109
8;0.108;0.109;0.109
9;0.108;0.11;0.109
10;0.108;0.111;0.109
11;0.108;42.798;0.109
12;0.109;254.303;0.109
13;0.109;;0.109
14;0.109;;0.109
15;0.109;;0.109
16;0.109;;0.109
17;0.109;;0.109
18;0.109;;0.109
19;0.109;;0.109
20;0.217;;0.109
21;0.217;;0.109
22;0.217;;0.109
23;0.217;;0.109
24;0.325;;0.109
25;0.325;;0.109
26;0.436;;0.109
27;0.543;;0.109
28;0.651;;0.109
29;0.759;;0.109
30;0.865;;0.109
31;0.866;;0.109
32;0.974;;0.109
33;0.975;;0.109
34;1.182;;0.11
35;2.847;;0.11
36;3.054;;0.11
37;4.093;;0.11
38;4.719;;0.11
39;5.641;;0.11
40;9.683;;0.11
41;25.421;;0.11
42;31.441;;0.11
43;39.524;;0.111
44;62.663;;0.111
45;76.763;;0.111
46;115.072;;0.113
47;221.969;;0.22
48;1000.845;;0.221
49;;;0.221
50;;;0.221
51;;;0.221
52;;;0.221
53;;;0.221
54;;;0.221
55;;;0.221
56;;;0.221
57;;;0.221
58;;;0.221
59;;;0.221
60;;;0.221
61;;;0.222
62;;;0.222
63;;;0.222
64;;;0.222
65;;;0.223
66;;;0.223
67;;;0.223
68;;;0.268
69;;;0.333
70;;;9.322
71;;;29.67
72;;;93.531
73;;;104.509
74;;;124.76
75;;;126.79
76;;;1089.22
